post_id,title,score,num_comments,author,collected_at,category,engagement,is_popular
47778306,"Show HN: Every CEO and CFO change at US public companies, live from SEC",93,41,porsche959,2026-04-15 20:59:54.948334,entertainment,0.43617021276595747,False
47778617,MCP as Observability Interface: Connecting AI Agents to Kernel Tracepoints,30,10,ingero_io,2026-04-15 20:59:56.130569,technology,0.3225806451612903,False
47779730,Daily Claude outage is upon us. Waiting for Claude Status to update,143,116,redm,2026-04-15 21:00:00.604678,technology,0.8055555555555556,True
47774971,Google Gemma 4 Runs Natively on iPhone with Full Offline AI Inference,176,109,takumi123,2026-04-15 21:00:02.372420,technology,0.615819209039548,True
47708627,Pretty Fish: A better mermaid diagram editor,47,10,pastelsky,2026-04-15 21:00:04.734861,technology,0.20833333333333334,False
47778920,US v. Heppner (S.D.N.Y. 2026) no attorney-client privilege for AI chats [pdf],43,29,1vuio0pswjnm7,2026-04-15 21:00:05.326987,technology,0.6590909090909091,False
47778308,AI ruling prompts warnings from US lawyers: Your chats could be used against you,58,29,alephnerd,2026-04-15 21:00:05.911790,technology,0.4915254237288136,False
47778933,Sam Vimes 'Boots' Theory of Socio-Economic Unfairness,44,29,latexr,2026-04-15 21:00:07.795605,technology,0.6444444444444445,False
47778050,Study: Back-to-basics approach can match or outperform AI in language analysis,9,0,giuliomagnifico,2026-04-15 21:00:08.494780,technology,0.0,False
47776667,"Direct Win32 API, Weird-Shaped Windows, and Why They Mostly Disappeared",144,78,birdculture,2026-04-15 21:00:10.961408,technology,0.5379310344827586,True
47728662,Picasso’s Guernica (Gigapixel),181,72,guigar,2026-04-15 21:00:11.564206,technology,0.3956043956043956,True
47768133,Claude Code Routines,684,381,matthieu_bl,2026-04-15 21:00:14.749463,technology,0.5562043795620438,True
47768339,Turn your best AI prompts into one-click tools in Chrome,183,101,xnx,2026-04-15 21:00:15.927720,technology,0.5489130434782609,True
47767676,5NF and Database Design,186,70,petalmind,2026-04-15 21:00:16.543950,technology,0.37433155080213903,True
47778038,"Allbirds, Inc. Announces Expansion into AI Compute Infrastructure",18,7,dmajka,2026-04-15 21:00:18.419334,technology,0.3684210526315789,False
47778762,"Allbirds announces pivot from shoes to AI, stock explodes 175%",32,11,1vuio0pswjnm7,2026-04-15 21:00:19.006509,technology,0.3333333333333333,False
47758870,Let's talk space toilets,206,54,zdw,2026-04-15 21:00:20.287115,science,0.2608695652173913,True
47739278,My adventure in designing API keys,90,70,vjay15,2026-04-15 21:00:25.368798,technology,0.7692307692307693,False
47772282,What Claude Code's Source Revealed About AI Engineering Culture,50,33,lucketone,2026-04-15 21:00:27.954822,technology,0.6470588235294118,False
47775183,Amazon to acquire Globalstar and expand Amazon Leo satellite network,110,89,homarp,2026-04-15 21:00:31.609512,worldnews,0.8018018018018018,False
47738962,Troubleshooting Email Delivery to Microsoft Users,79,22,rozumem,2026-04-15 21:00:36.073216,technology,0.275,False
47768750,Show HN: Plain – The full-stack Python framework designed for humans and agents,88,49,focom,2026-04-15 21:00:42.849535,technology,0.550561797752809,False
47766370,Show HN: LangAlpha – what if Claude Code was built for Wall Street?,140,49,zc2610,2026-04-15 21:00:43.436695,technology,0.3475177304964539,True
47772018,Your codebase doesn't care how it got written,25,22,robbyrussell,2026-04-15 21:00:44.130460,technology,0.8461538461538461,False
47778771,Bosses say AI boosts productivity – workers say they're drowning in 'workslop',15,3,Brajeshwar,2026-04-15 21:00:46.003098,technology,0.1875,False
47723729,"Game: Print Gallery Of An Artist, A brief exploration of recursive spaces",28,5,zdw,2026-04-15 21:00:48.356647,sports,0.1724137931034483,False
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,114,61,tie-in,2026-04-15 21:00:50.949329,technology,0.5304347826086957,False
47772048,Fuck the cloud (2009),158,93,downbad_,2026-04-15 21:00:53.545825,technology,0.5849056603773585,True
47776723,"'Seeking connection': video game where players stopped shooting, started talking",47,56,andsoitis,2026-04-15 21:01:00.898223,sports,1.1666666666666667,False
47770124,Gas Town: From Clown Show to v1.0,104,151,martythemaniak,2026-04-15 21:01:09.269756,entertainment,1.438095238095238,False
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,463,268,m-hodges,2026-04-15 21:01:22.366237,sports,0.5775862068965517,True
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",174,44,cvrajeesh,2026-04-15 21:01:33.391998,entertainment,0.25142857142857145,True
47771417,SpaceX Is Basically a Huge Meme Stock,61,23,breve,2026-04-15 21:01:49.875688,science,0.3709677419354839,False
47714770,Show HN: Run GUIs as Scripts,21,7,zero-st4rs,2026-04-15 21:02:00.634816,entertainment,0.3181818181818182,False
47724352,Filing the corners off my MacBooks,1400,675,normanvalentine,2026-04-15 21:02:04.300934,entertainment,0.4817987152034261,True
